%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
118.0, 40427.399030613786, 18750.43138866799, -187500.02235174447, -187500.02235174447, 29444.35530237619, -187500.02235174447, 10908.947695368255, -103992.60866553888, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601943097E9, 0.0, 2023-09-30 16:29:20.194
119.0, 40490.028618577555, 18749.60437412314, -187500.02235174447, -187500.02235174447, 29441.516630830367, -187500.02235174447, 10886.640654401857, -104100.3664255579, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194332E9, 0.0, 2023-09-30 16:29:20.194
120.0, 40467.810984588985, 18745.58106012119, -187500.02235174447, -187500.02235174447, 29464.98596250844, -187500.02235174447, 10965.385850117904, -103939.6350311798, -0.18, 0.9560000000000001, 0.0, 192.0, 250.0, 96.0, 29.0, 224.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194344E9, 0.0, 2023-09-30 16:29:20.194
121.0, 40417.787780498, 18735.589830349665, -187500.02235174447, -187500.02235174447, 29491.40572445461, -187500.02235174447, 11015.721978631256, -103800.13779403422, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601943555E9, 0.0, 2023-09-30 16:29:20.194
122.0, 40408.06477165995, 18741.021304252303, -187500.02235174447, -187500.02235174447, 29449.07152045626, -187500.02235174447, 10930.137149111886, -103987.51246780307, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601943667E9, 0.0, 2023-09-30 16:29:20.194
123.0, 40476.05877829299, 18745.80457756574, -187500.02235174447, -187500.02235174447, 29441.36016861918, -187500.02235174447, 10891.625093415392, -104126.85324273744, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194378E9, 0.0, 2023-09-30 16:29:20.194
124.0, 40472.88483058033, 18739.65784784053, -187500.02235174447, -187500.02235174447, 29497.50775069091, -187500.02235174447, 10969.163294930851, -103977.00714790907, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601943896E9, 0.0, 2023-09-30 16:29:20.194
125.0, 40437.256149918576, 18751.57132763521, -187500.02235174447, -187500.02235174447, 29518.071355589793, -187500.02235174447, 11030.541185205126, -103805.9045441037, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601944013E9, 0.0, 2023-09-30 16:29:20.194
126.0, 40395.77131220953, 18768.290432487778, -187500.02235174447, -187500.02235174447, 29445.227020409948, -187500.02235174447, 10947.862082464944, -103950.63208945181, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194412E9, 0.0, 2023-09-30 16:29:20.194
127.0, 40433.29989114999, 18774.213644768435, -187500.02235174447, -187500.02235174447, 29423.67993875503, -187500.02235174447, 10894.642578916857, -104127.97082996022, -0.18, 0.9560000000000001, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601944227E9, 0.0, 2023-09-30 16:29:20.194
