Tiempo (ms)	Antebrazo	Cuello
1	505	513
2	506	514
3	502	512
4	502	509
5	507	508
6	507	505
7	510	504
8	507	501
9	512	500
10	512	500
11	511	500
12	509	502
13	510	503
14	504	505
15	503	502
16	504	500
17	504	501
18	505	503
19	512	505
20	516	505
21	515	510
22	514	510
23	504	513
24	510	515
25	512	514
26	506	517
27	511	514
28	512	513
29	504	514
30	501	516
31	503	519
32	504	516
33	508	516
34	509	513
35	509	511
36	508	510
37	508	512
38	505	512
39	504	513
40	504	511
41	503	508
42	500	510
43	508	512
44	512	508
45	518	505
46	519	507
47	511	508
48	508	513
49	502	513
50	504	512
51	505	510
52	501	511
53	508	509
54	510	505
55	514	504
56	517	505
57	516	508
58	511	509
59	509	509
60	503	505
61	503	510
62	502	510
63	504	510
64	508	509
65	509	509
66	508	511
67	508	511
68	505	510
69	507	511
70	508	507
71	506	506
72	511	507
73	508	507
74	505	507
75	507	510
76	507	510
77	511	509
78	510	510
79	505	513
80	507	508
81	510	509
82	510	508
83	512	510
84	508	510
85	505	508
86	509	508
87	511	509
88	505	509
89	508	507
90	509	507
91	507	507
92	505	509
93	505	509
94	508	510
95	508	509
96	507	510
97	504	507
98	500	507
99	504	508
100	508	510
101	509	509
102	512	510
103	516	510
104	513	508
105	509	510
106	508	512
107	508	510
108	508	511
109	511	511
110	510	508
111	508	506
112	512	505
113	511	506
114	508	505
115	506	507
116	503	508
117	507	510
118	504	509
119	502	512
120	504	511
121	505	508
122	503	505
123	504	510
124	506	513
125	508	509
126	508	510
127	510	510
128	508	508
129	510	509
130	513	507
131	510	507
132	511	510
133	505	512
134	501	511
135	508	509
136	507	510
137	507	511
138	506	507
139	508	508
140	503	510
141	505	511
142	511	509
143	510	508
144	507	510
145	506	510
146	508	506
147	509	508
148	509	508
149	509	508
150	515	508
151	518	508
152	514	508
153	513	505
154	512	507
155	512	510
156	510	513
157	506	515
158	504	513
159	504	509
160	506	510
161	504	510
162	499	507
163	506	508
164	513	507
165	512	507
166	503	510
167	499	512
168	504	512
169	503	512
170	501	508
171	502	508
172	504	509
173	509	510
174	510	510
175	511	510
176	511	510
177	513	510
178	513	509
179	513	509
180	510	508
181	502	508
182	508	505
183	507	507
184	508	509
185	515	511
186	521	509
187	519	510
188	509	508
189	505	510
190	501	509
191	496	508
192	499	508
193	502	508
194	507	511
195	511	510
196	509	507
197	503	507
198	504	506
199	501	505
200	500	507
201	501	506
202	507	506
203	511	512
204	510	509
205	511	512
206	505	512
207	506	513
208	510	511
209	514	508
210	520	508
211	521	510
212	519	510
213	510	508
214	510	505
215	516	507
216	516	508
217	511	510
218	503	512
219	499	512
220	500	510
221	505	511
222	505	507
223	507	508
224	508	509
225	505	509
226	501	508
227	502	509
228	503	509
229	506	508
230	508	511
231	506	509
232	508	508
233	508	509
234	508	509
235	510	509
236	510	511
237	510	513
238	509	511
239	508	508
240	508	508
241	508	508
242	511	513
243	510	511
244	509	511
245	508	505
246	506	505
247	504	507
248	502	505
249	505	506
250	504	508
251	506	511
252	504	510
253	507	507
254	508	508
255	507	511
256	505	512
257	512	509
258	512	507
259	512	509
260	514	512
261	509	513
262	500	511
263	500	508
264	502	507
265	504	512
266	504	514
267	511	513
268	511	511
269	512	514
270	520	511
271	521	510
272	519	507
273	516	502
274	510	502
275	508	507
276	508	507
277	505	504
278	508	505
279	506	508
280	509	506
281	507	510
282	504	514
283	500	512
284	504	512
285	507	510
286	511	511
287	511	510
288	507	509
289	504	509
290	501	510
291	501	512
292	502	510
293	505	507
294	510	508
295	508	508
296	504	508
297	507	508
298	507	505
299	510	507
300	510	510
301	508	512
302	508	510
303	508	512
304	506	513
305	508	511
306	504	508
307	503	512
308	499	514
309	504	512
310	504	505
311	503	507
312	510	507
313	514	508
314	516	510
315	519	509
316	514	508
317	511	510
318	509	508
319	508	507
320	509	507
321	506	510
322	506	509
323	507	508
324	510	507
325	508	508
326	508	507
327	509	510
328	514	512
329	508	513
330	506	509
331	506	510
332	505	508
333	505	510
334	506	509
335	505	510
336	504	507
337	505	508
338	510	509
339	508	509
340	505	508
341	500	510
342	504	511
343	508	509
344	510	508
345	505	508
346	499	508
347	505	509
348	514	509
349	514	507
350	518	506
351	524	508
352	513	510
353	505	510
354	504	512
355	504	516
356	505	515
357	504	510
358	512	507
359	513	505
360	516	507
361	513	509
362	503	511
363	501	512
364	505	511
365	502	510
366	505	510
367	508	509
368	509	509
369	506	508
370	509	510
371	510	509
372	509	510
373	507	508
374	507	510
375	504	508
376	503	507
377	507	507
378	508	505
379	504	508
380	502	505
381	504	508
382	505	509
383	507	511
384	506	511
385	508	508
386	512	509
